date,data_or_inferred,incarcerated_total,incarcerated_white,incarcerated_black,incarcerated_hispanic,incarcerated_amerind,incarcerated_asian,incarcerated_other,incarcerated_unknown,incarcerated_nonwhite,state,url
2006-02-01,raw data,28032.0,11393,16582.0,,,,57.0,,16639.0,Alabama,http://www.doc.state.al.us/StatReports
2006-03-01,raw data,28093.0,11432,16605.0,,,,56.0,,16661.0,Alabama,http://www.doc.state.al.us/StatReports
2006-04-01,raw data,27972.0,11399,16514.0,,,,59.0,,16573.0,Alabama,http://www.doc.state.al.us/StatReports
2006-05-01,raw data,28105.0,11528,16519.0,,,,58.0,,16577.0,Alabama,http://www.doc.state.al.us/StatReports
2006-06-01,raw data,27998.0,11478,16465.0,,,,55.0,,16520.0,Alabama,http://www.doc.state.al.us/StatReports
2006-07-01,raw data,27978.0,11454,16469.0,,,,55.0,,16524.0,Alabama,http://www.doc.state.al.us/StatReports
2006-08-01,raw data,27888.0,11402,16430.0,,,,56.0,,16486.0,Alabama,http://www.doc.state.al.us/StatReports
2006-09-01,raw data,27917.0,11370,16493.0,,,,54.0,,16547.0,Alabama,http://www.doc.state.al.us/StatReports
2006-10-01,raw data,27954.0,11424,16476.0,,,,54.0,,16530.0,Alabama,http://www.doc.state.al.us/StatReports
2006-11-01,raw data,27915.0,11363,16502.0,,,,50.0,,16552.0,Alabama,http://www.doc.state.al.us/StatReports
2006-12-01,raw data,28099.0,11460,16586.0,,,,53.0,,16639.0,Alabama,http://www.doc.state.al.us/StatReports
2007-01-01,raw data,28241.0,11510,16682.0,,,,49.0,,16731.0,Alabama,http://www.doc.state.al.us/StatReports
2007-02-01,raw data,28285.0,11478,16758.0,,,,49.0,,16807.0,Alabama,http://www.doc.state.al.us/StatReports
2007-03-01,raw data,28243.0,11422,16774.0,,,,47.0,,16821.0,Alabama,http://www.doc.state.al.us/StatReports
2007-04-01,raw data,28338.0,11465,16828.0,,,,45.0,,16873.0,Alabama,http://www.doc.state.al.us/StatReports
2007-05-01,raw data,28775.0,11650,17082.0,,,,43.0,,17125.0,Alabama,http://www.doc.state.al.us/StatReports
2007-06-01,raw data,29021.0,11767,17210.0,,,,44.0,,17254.0,Alabama,http://www.doc.state.al.us/StatReports
2007-07-01,raw data,29244.0,11902,17296.0,,,,46.0,,17342.0,Alabama,http://www.doc.state.al.us/StatReports
2007-08-01,raw data,29357.0,11920,17391.0,,,,46.0,,17437.0,Alabama,http://www.doc.state.al.us/StatReports
2007-09-01,raw data,29148.0,11837,17268.0,,,,43.0,,17311.0,Alabama,http://www.doc.state.al.us/StatReports
2007-10-01,raw data,29235.0,11837,17354.0,,,,44.0,,17398.0,Alabama,http://www.doc.state.al.us/StatReports
2007-11-01,raw data,29363.0,11823,17497.0,,,,43.0,,17540.0,Alabama,http://www.doc.state.al.us/StatReports
2007-12-01,raw data,29455.0,11868,17541.0,,,,46.0,,17587.0,Alabama,http://www.doc.state.al.us/StatReports
2008-01-01,raw data,29412.0,11795,17573.0,,,,44.0,,17617.0,Alabama,http://www.doc.state.al.us/StatReports
2008-02-01,raw data,29438.0,11771,17623.0,,,,44.0,,17667.0,Alabama,http://www.doc.state.al.us/StatReports
2008-03-01,raw data,29603.0,11820,17740.0,,,,43.0,,17783.0,Alabama,http://www.doc.state.al.us/StatReports
2008-04-01,raw data,29485.0,11755,17687.0,,,,43.0,,17730.0,Alabama,http://www.doc.state.al.us/StatReports
2008-05-01,raw data,29567.0,11762,17764.0,,,,41.0,,17805.0,Alabama,http://www.doc.state.al.us/StatReports
2008-06-01,raw data,29817.0,11865,17910.0,,,,42.0,,17952.0,Alabama,http://www.doc.state.al.us/StatReports
2008-07-01,raw data,29870.0,11850,17979.0,,,,41.0,,18020.0,Alabama,http://www.doc.state.al.us/StatReports
2008-08-01,raw data,30017.0,11875,18100.0,,,,42.0,,18142.0,Alabama,http://www.doc.state.al.us/StatReports
2008-09-01,raw data,29945.0,11854,18047.0,,,,44.0,,18091.0,Alabama,http://www.doc.state.al.us/StatReports
2008-10-01,raw data,29959.0,11870,18051.0,,,,38.0,,18089.0,Alabama,http://www.doc.state.al.us/StatReports
2008-11-01,raw data,30264.0,11963,18261.0,,,,40.0,,18301.0,Alabama,http://www.doc.state.al.us/StatReports
2008-12-01,raw data,30470.0,12111,18319.0,,,,40.0,,18359.0,Alabama,http://www.doc.state.al.us/StatReports
2009-01-01,raw data,30508.0,12126,18340.0,,,,42.0,,18382.0,Alabama,http://www.doc.state.al.us/StatReports
2009-02-01,raw data,30599.0,12165,18394.0,,,,40.0,,18434.0,Alabama,http://www.doc.state.al.us/StatReports
2009-03-01,raw data,30601.0,12140,18420.0,,,,41.0,,18461.0,Alabama,http://www.doc.state.al.us/StatReports
2009-04-01,raw data,30757.0,12208,18508.0,,,,41.0,,18549.0,Alabama,http://www.doc.state.al.us/StatReports
2009-05-01,raw data,30785.0,12208,18537.0,,,,40.0,,18577.0,Alabama,http://www.doc.state.al.us/StatReports
2009-06-01,raw data,30896.0,12267,18588.0,,,,41.0,,18629.0,Alabama,http://www.doc.state.al.us/StatReports
2009-07-01,raw data,30956.0,12279,18638.0,,,,39.0,,18677.0,Alabama,http://www.doc.state.al.us/StatReports
2009-08-01,raw data,31225.0,12423,18765.0,,,,37.0,,18802.0,Alabama,http://www.doc.state.al.us/StatReports
2009-09-01,raw data,31586.0,12552,18997.0,,,,37.0,,19034.0,Alabama,http://www.doc.state.al.us/StatReports
2009-10-01,raw data,31770.0,12718,19014.0,,,,38.0,,19052.0,Alabama,http://www.doc.state.al.us/StatReports
2009-11-01,raw data,31967.0,12824,19106.0,,,,37.0,,19143.0,Alabama,http://www.doc.state.al.us/StatReports
2009-12-01,raw data,31979.0,12873,19069.0,,,,37.0,,19106.0,Alabama,http://www.doc.state.al.us/StatReports
2010-01-01,raw data,31852.0,12787,19027.0,,,,38.0,,19065.0,Alabama,http://www.doc.state.al.us/StatReports
2010-02-01,raw data,31705.0,12745,18923.0,,,,37.0,,18960.0,Alabama,http://www.doc.state.al.us/StatReports
2010-03-01,raw data,31611.0,12754,18819.0,,,,38.0,,18857.0,Alabama,http://www.doc.state.al.us/StatReports
2010-04-01,raw data,31713.0,12834,18843.0,,,,36.0,,18879.0,Alabama,http://www.doc.state.al.us/StatReports
2010-05-01,raw data,31844.0,12891,18916.0,,,,37.0,,18953.0,Alabama,http://www.doc.state.al.us/StatReports
2010-06-01,raw data,31885.0,12964,18885.0,,,,36.0,,18921.0,Alabama,http://www.doc.state.al.us/StatReports
2010-07-01,raw data,31965.0,13035,18893.0,,,,37.0,,18930.0,Alabama,http://www.doc.state.al.us/StatReports
2010-08-01,raw data,31851.0,12980,18836.0,,,,35.0,,18871.0,Alabama,http://www.doc.state.al.us/StatReports
2010-09-01,raw data,31828.0,12990,18801.0,,,,37.0,,18838.0,Alabama,http://www.doc.state.al.us/StatReports
2010-10-01,raw data,31975.0,13085,18850.0,,,,40.0,,18890.0,Alabama,http://www.doc.state.al.us/StatReports
2010-11-01,raw data,31995.0,13098,18856.0,,,,41.0,,18897.0,Alabama,http://www.doc.state.al.us/StatReports
2010-12-01,raw data,31911.0,13093,18777.0,,,,41.0,,18818.0,Alabama,http://www.doc.state.al.us/StatReports
2011-01-01,raw data,31801.0,13069,18689.0,,,,43.0,,18732.0,Alabama,http://www.doc.state.al.us/StatReports
2011-02-01,raw data,31792.0,13048,18700.0,,,,44.0,,18744.0,Alabama,http://www.doc.state.al.us/StatReports
2011-03-01,raw data,31885.0,13151,18692.0,,,,42.0,,18734.0,Alabama,http://www.doc.state.al.us/StatReports
2011-04-01,raw data,31840.0,13151,18647.0,,,,42.0,,18689.0,Alabama,http://www.doc.state.al.us/StatReports
2011-05-01,raw data,31959.0,13203,18713.0,,,,43.0,,18756.0,Alabama,http://www.doc.state.al.us/StatReports
2011-06-01,raw data,31984.0,13243,18700.0,,,,41.0,,18741.0,Alabama,http://www.doc.state.al.us/StatReports
2011-07-01,raw data,32180.0,13365,18773.0,,,,42.0,,18815.0,Alabama,http://www.doc.state.al.us/StatReports
2011-08-01,raw data,32100.0,13331,18727.0,,,,42.0,,18769.0,Alabama,http://www.doc.state.al.us/StatReports
2011-09-01,raw data,32141.0,13354,18745.0,,,,42.0,,18787.0,Alabama,http://www.doc.state.al.us/StatReports
2011-10-01,raw data,32171.0,13410,18716.0,,,,45.0,,18761.0,Alabama,http://www.doc.state.al.us/StatReports
2011-11-01,raw data,32260.0,13422,18791.0,,,,47.0,,18838.0,Alabama,http://www.doc.state.al.us/StatReports
2011-12-01,raw data,32468.0,13576,18845.0,,,,47.0,,18892.0,Alabama,http://www.doc.state.al.us/StatReports
2012-01-01,raw data,32456.0,13587,18822.0,,,,47.0,,18869.0,Alabama,http://www.doc.state.al.us/StatReports
2012-02-01,raw data,32358.0,13558,18751.0,,,,49.0,,18800.0,Alabama,http://www.doc.state.al.us/StatReports
2012-03-01,raw data,32399.0,13574,18776.0,,,,49.0,,18825.0,Alabama,http://www.doc.state.al.us/StatReports
2012-04-01,raw data,32354.0,13576,18726.0,,,,52.0,,18778.0,Alabama,http://www.doc.state.al.us/StatReports
2012-05-01,raw data,32429.0,13653,18721.0,,,,55.0,,18776.0,Alabama,http://www.doc.state.al.us/StatReports
2012-06-01,raw data,32507.0,13672,18781.0,,,,54.0,,18835.0,Alabama,http://www.doc.state.al.us/StatReports
2012-07-01,raw data,32594.0,13715,18828.0,,,,51.0,,18879.0,Alabama,http://www.doc.state.al.us/StatReports
2012-08-01,raw data,32647.0,13747,18847.0,,,,53.0,,18900.0,Alabama,http://www.doc.state.al.us/StatReports
2012-09-01,raw data,32461.0,13667,18742.0,,,,52.0,,18794.0,Alabama,http://www.doc.state.al.us/StatReports
2012-10-01,raw data,32493.0,13695,18741.0,,,,57.0,,18798.0,Alabama,http://www.doc.state.al.us/StatReports
2012-11-01,raw data,32608.0,13783,18758.0,,,,67.0,,18825.0,Alabama,http://www.doc.state.al.us/StatReports
2012-12-01,raw data,32700.0,13824,18809.0,,,,67.0,,18876.0,Alabama,http://www.doc.state.al.us/StatReports
2013-01-01,raw data,32709.0,13870,18767.0,,,,72.0,,18839.0,Alabama,http://www.doc.state.al.us/StatReports
2013-02-01,raw data,32361.0,13701,18590.0,,,,70.0,,18660.0,Alabama,http://www.doc.state.al.us/StatReports
2013-03-01,raw data,32422.0,13759,18591.0,,,,72.0,,18663.0,Alabama,http://www.doc.state.al.us/StatReports
2013-04-01,raw data,32324.0,13736,18515.0,,,,73.0,,18588.0,Alabama,http://www.doc.state.al.us/StatReports
2013-05-01,raw data,32385.0,13727,18585.0,,,,73.0,,18658.0,Alabama,http://www.doc.state.al.us/StatReports
2013-06-01,raw data,32447.0,13761,18612.0,,,,74.0,,18686.0,Alabama,http://www.doc.state.al.us/StatReports
2013-07-01,raw data,32544.0,13858,18605.0,,,,81.0,,18686.0,Alabama,http://www.doc.state.al.us/StatReports
2013-08-01,raw data,32341.0,13738,18523.0,,,,80.0,,18603.0,Alabama,http://www.doc.state.al.us/StatReports
2013-09-01,raw data,32492.0,13877,18531.0,,,,84.0,,18615.0,Alabama,http://www.doc.state.al.us/StatReports
2013-10-01,raw data,32467.0,13874,18509.0,,,,84.0,,18593.0,Alabama,http://www.doc.state.al.us/StatReports
2013-11-01,raw data,32569.0,13948,18532.0,,,,89.0,,18621.0,Alabama,http://www.doc.state.al.us/StatReports
2013-12-01,raw data,32684.0,13977,18616.0,,,,91.0,,18707.0,Alabama,http://www.doc.state.al.us/StatReports
2014-01-01,raw data,32421.0,13851,18481.0,,,,89.0,,18570.0,Alabama,http://www.doc.state.al.us/StatReports
2014-02-01,raw data,32244.0,13780,18375.0,,,,89.0,,18464.0,Alabama,http://www.doc.state.al.us/StatReports
2014-03-01,raw data,32346.0,13813,18441.0,,,,92.0,,18533.0,Alabama,http://www.doc.state.al.us/StatReports
2014-04-01,raw data,32154.0,13713,18345.0,,,,96.0,,18441.0,Alabama,http://www.doc.state.al.us/StatReports
2014-05-01,raw data,32194.0,13743,18349.0,,,,102.0,,18451.0,Alabama,http://www.doc.state.al.us/StatReports
2014-06-01,raw data,32174.0,13742,18331.0,,,,101.0,,18432.0,Alabama,http://www.doc.state.al.us/StatReports
2014-07-01,raw data,32235.0,13775,18354.0,,,,106.0,,18460.0,Alabama,http://www.doc.state.al.us/StatReports
2014-08-01,raw data,31897.0,13598,18191.0,,,,108.0,,18299.0,Alabama,http://www.doc.state.al.us/StatReports
2014-09-01,raw data,31980.0,13677,18196.0,,,,107.0,,18303.0,Alabama,http://www.doc.state.al.us/StatReports
2014-10-01,raw data,31961.0,13693,18158.0,,,,110.0,,18268.0,Alabama,http://www.doc.state.al.us/StatReports
2014-11-01,raw data,32088.0,13781,18193.0,,,,114.0,,18307.0,Alabama,http://www.doc.state.al.us/StatReports
2014-12-01,raw data,32024.0,13804,18105.0,,,,115.0,,18220.0,Alabama,http://www.doc.state.al.us/StatReports
2015-01-01,raw data,31804.0,13671,18014.0,,,,119.0,,18133.0,Alabama,http://www.doc.state.al.us/StatReports
2015-02-01,raw data,31784.0,13668,17997.0,,,,119.0,,18116.0,Alabama,http://www.doc.state.al.us/StatReports
2015-03-01,raw data,31764.0,13654,17992.0,,,,118.0,,18110.0,Alabama,http://www.doc.state.al.us/StatReports
2015-04-01,raw data,31583.0,13577,17886.0,,,,120.0,,18006.0,Alabama,http://www.doc.state.al.us/StatReports
2015-05-01,raw data,31663.0,13649,17890.0,,,,124.0,,18014.0,Alabama,http://www.doc.state.al.us/StatReports
2015-06-01,raw data,31574.0,13628,17824.0,,,,122.0,,17946.0,Alabama,http://www.doc.state.al.us/StatReports
2015-07-01,raw data,31504.0,13623,17758.0,,,,123.0,,17881.0,Alabama,http://www.doc.state.al.us/StatReports
2015-08-01,raw data,31216.0,13485,17607.0,,,,124.0,,17731.0,Alabama,http://www.doc.state.al.us/StatReports
2015-09-01,raw data,31242.0,13539,17575.0,,,,128.0,,17703.0,Alabama,http://www.doc.state.al.us/StatReports
2015-10-01,raw data,31162.0,13540,17494.0,,,,128.0,,17622.0,Alabama,http://www.doc.state.al.us/StatReports
2015-11-01,raw data,31241.0,13608,17495.0,,,,138.0,,17633.0,Alabama,http://www.doc.state.al.us/StatReports
2015-12-01,raw data,31044.0,13487,17419.0,,,,138.0,,17557.0,Alabama,http://www.doc.state.al.us/StatReports
2016-01-01,raw data,30841.0,13419,17288.0,,,,134.0,,17422.0,Alabama,http://www.doc.state.al.us/StatReports
2016-02-01,raw data,30658.0,13306,17218.0,,,,134.0,,17352.0,Alabama,http://www.doc.state.al.us/StatReports
2016-03-01,raw data,30548.0,13297,17119.0,,,,132.0,,17251.0,Alabama,http://www.doc.state.al.us/StatReports
2016-04-01,raw data,30495.0,13307,17054.0,,,,134.0,,17188.0,Alabama,http://www.doc.state.al.us/StatReports
2016-05-01,raw data,30436.0,13282,17018.0,,,,136.0,,17154.0,Alabama,http://www.doc.state.al.us/StatReports
2016-06-01,raw data,30316.0,13265,16913.0,,,,138.0,,17051.0,Alabama,http://www.doc.state.al.us/StatReports
2016-07-01,raw data,30239.0,13221,16881.0,,,,137.0,,17018.0,Alabama,http://www.doc.state.al.us/StatReports
2016-08-01,raw data,29983.0,13116,16730.0,,,,137.0,,16867.0,Alabama,http://www.doc.state.al.us/StatReports
2016-09-01,raw data,29759.0,13008,16612.0,,,,139.0,,16751.0,Alabama,http://www.doc.state.al.us/StatReports
2016-10-01,raw data,29651.0,12978,16539.0,,,,134.0,,16673.0,Alabama,http://www.doc.state.al.us/StatReports
2016-11-01,raw data,29440.0,12941,16371.0,,,,128.0,,16499.0,Alabama,http://www.doc.state.al.us/StatReports
2016-12-01,raw data,29396.0,12951,16309.0,,,,136.0,,16445.0,Alabama,http://www.doc.state.al.us/StatReports
2017-01-01,raw data,28999.0,12766,16093.0,,,,140.0,,16233.0,Alabama,http://www.doc.state.al.us/StatReports
2017-02-01,raw data,28873.0,12748,15985.0,,,,140.0,,16125.0,Alabama,http://www.doc.state.al.us/StatReports
2017-03-01,raw data,28920.0,12801,15976.0,,,,143.0,,16119.0,Alabama,http://www.doc.state.al.us/StatReports
2017-04-01,raw data,28654.0,12699,15810.0,,,,145.0,,15955.0,Alabama,http://www.doc.state.al.us/StatReports
2017-05-01,raw data,28338.0,12579,15611.0,,,,148.0,,15759.0,Alabama,http://www.doc.state.al.us/StatReports
2017-06-01,raw data,28272.0,12642,15488.0,,,,142.0,,15630.0,Alabama,http://www.doc.state.al.us/StatReports
2017-07-01,raw data,28304.0,12664,15495.0,,,,145.0,,15640.0,Alabama,http://www.doc.state.al.us/StatReports
2017-08-01,raw data,27933.0,12522,15268.0,,,,143.0,,15411.0,Alabama,http://www.doc.state.al.us/StatReports
2017-09-01,raw data,27899.0,12600,15152.0,,,,147.0,,15299.0,Alabama,http://www.doc.state.al.us/StatReports
2017-10-01,raw data,27812.0,12635,15036.0,,,,141.0,,15177.0,Alabama,http://www.doc.state.al.us/StatReports
2017-11-01,raw data,27896.0,12725,15034.0,,,,137.0,,15171.0,Alabama,http://www.doc.state.al.us/StatReports
2017-12-01,raw data,27842.0,12700,14995.0,,,,147.0,,15142.0,Alabama,http://www.doc.state.al.us/StatReports
2018-01-01,raw data,27686.0,12635,14899.0,,,,152.0,,15051.0,Alabama,http://www.doc.state.al.us/StatReports
2018-02-01,raw data,27343.0,12512,14677.0,,,,154.0,,14831.0,Alabama,http://www.doc.state.al.us/StatReports
2018-03-01,raw data,27081.0,12410,14516.0,,,,155.0,,14671.0,Alabama,http://www.doc.state.al.us/StatReports
2018-04-01,raw data,26897.0,12362,14378.0,,,,157.0,,14535.0,Alabama,http://www.doc.state.al.us/StatReports
2018-05-01,raw data,26931.0,12385,14381.0,,,,165.0,,14546.0,Alabama,http://www.doc.state.al.us/StatReports
2018-06-01,raw data,27109.0,12563,14380.0,,,,166.0,,14546.0,Alabama,http://www.doc.state.al.us/StatReports
2018-07-01,raw data,27168.0,12607,14390.0,,,,171.0,,14561.0,Alabama,http://www.doc.state.al.us/StatReports
2018-08-01,raw data,26997.0,12544,14289.0,,,,164.0,,14453.0,Alabama,http://www.doc.state.al.us/StatReports
2018-09-01,raw data,26859.0,12489,14191.0,,,,179.0,,14370.0,Alabama,http://www.doc.state.al.us/StatReports
2018-10-01,raw data,26798.0,12461,14156.0,,,,181.0,,14337.0,Alabama,http://www.doc.state.al.us/StatReports
2018-11-01,raw data,26865.0,12512,14166.0,,,,187.0,,14353.0,Alabama,http://www.doc.state.al.us/StatReports
2018-12-01,raw data,26959.0,12606,14162.0,,,,191.0,,14353.0,Alabama,http://www.doc.state.al.us/StatReports
2019-01-01,raw data,27199.0,12781,14216.0,,,,202.0,,14418.0,Alabama,http://www.doc.state.al.us/StatReports
2019-02-01,raw data,27249.0,12810,14232.0,,,,207.0,,14439.0,Alabama,http://www.doc.state.al.us/StatReports
