date,admissions_total,admissions_white,admissions_black,admissions_hispanic,admissions_amerind,admissions_asian,admissions_other,releases_total,releases_white,releases_black,releases_hispanic,releases_amerind,releases_asian,releases_other,state
2015-05-01,94,76,13,0.0,4.0,0.0,1.0,107,92,9,0.0,3.0,0.0,3.0,Maine
2015-06-01,83,69,11,0.0,1.0,0.0,2.0,102,81,9,0.0,9.0,0.0,3.0,Maine
2015-07-01,99,89,6,0.0,2.0,0.0,2.0,102,88,9,0.0,4.0,0.0,1.0,Maine
2015-08-01,97,77,14,0.0,5.0,0.0,1.0,105,91,11,0.0,2.0,0.0,1.0,Maine
2015-09-01,102,80,14,0.0,5.0,0.0,3.0,83,71,5,0.0,5.0,1.0,1.0,Maine
2015-10-01,103,92,6,0.0,3.0,2.0,0.0,106,92,8,0.0,2.0,0.0,4.0,Maine
2015-11-01,99,85,7,0.0,3.0,1.0,3.0,84,70,12,0.0,2.0,0.0,0.0,Maine
2015-12-01,98,79,11,0.0,4.0,1.0,3.0,123,106,8,0.0,5.0,0.0,4.0,Maine
2016-01-01,88,77,9,0.0,2.0,0.0,0.0,79,68,10,0.0,1.0,0.0,0.0,Maine
2016-02-01,119,103,12,0.0,1.0,2.0,1.0,97,85,9,0.0,0.0,1.0,2.0,Maine
2016-03-01,105,92,11,0.0,1.0,0.0,1.0,85,63,15,0.0,5.0,0.0,2.0,Maine
2016-04-01,92,73,17,0.0,1.0,0.0,1.0,100,84,12,0.0,3.0,0.0,1.0,Maine
2016-05-01,127,106,9,0.0,9.0,0.0,3.0,93,80,9,0.0,3.0,0.0,1.0,Maine
2016-06-01,117,97,11,0.0,2.0,1.0,6.0,100,86,9,0.0,4.0,0.0,1.0,Maine
2016-07-01,111,96,8,0.0,2.0,1.0,4.0,109,93,11,0.0,1.0,1.0,3.0,Maine
2016-08-01,132,109,14,0.0,6.0,0.0,3.0,101,90,5,0.0,3.0,1.0,2.0,Maine
2016-09-01,113,97,11,0.0,4.0,0.0,1.0,123,103,13,0.0,3.0,0.0,4.0,Maine
2016-10-01,93,83,7,0.0,3.0,0.0,0.0,109,93,10,0.0,2.0,1.0,3.0,Maine
2016-11-01,110,91,12,0.0,5.0,0.0,2.0,124,109,7,0.0,6.0,0.0,2.0,Maine
2016-12-01,117,100,11,0.0,4.0,0.0,2.0,109,94,10,0.0,4.0,0.0,1.0,Maine
2017-01-01,113,95,14,0.0,4.0,0.0,0.0,108,88,17,0.0,3.0,0.0,0.0,Maine
2017-02-01,103,88,8,0.0,2.0,0.0,5.0,91,76,10,0.0,2.0,2.0,1.0,Maine
2017-03-01,117,95,13,0.0,5.0,0.0,4.0,125,104,10,0.0,5.0,1.0,5.0,Maine
2017-04-01,97,81,11,0.0,2.0,0.0,3.0,102,95,5,0.0,2.0,0.0,0.0,Maine
2017-05-01,109,87,11,0.0,5.0,1.0,5.0,145,129,12,0.0,2.0,1.0,1.0,Maine
2017-06-01,94,82,9,0.0,2.0,0.0,1.0,100,86,8,0.0,4.0,0.0,2.0,Maine
2017-07-01,93,78,9,0.0,3.0,0.0,3.0,106,92,7,0.0,2.0,1.0,4.0,Maine
2017-08-01,119,98,14,0.0,4.0,1.0,2.0,109,98,4,0.0,5.0,0.0,2.0,Maine
2017-09-01,135,107,22,0.0,3.0,0.0,3.0,128,105,12,0.0,5.0,1.0,5.0,Maine
2017-10-01,101,75,16,0.0,5.0,1.0,4.0,113,99,9,0.0,3.0,0.0,2.0,Maine
2017-11-01,136,112,15,0.0,3.0,0.0,6.0,115,101,9,0.0,2.0,0.0,3.0,Maine
2017-12-01,110,94,7,0.0,6.0,1.0,2.0,93,74,11,0.0,6.0,0.0,2.0,Maine
2018-01-01,111,85,16,0.0,5.0,2.0,3.0,108,92,12,0.0,2.0,0.0,2.0,Maine
2018-02-01,113,97,9,0.0,1.0,1.0,5.0,100,84,12,0.0,2.0,1.0,1.0,Maine
2018-03-01,134,115,15,0.0,2.0,0.0,2.0,122,101,15,0.0,4.0,0.0,2.0,Maine
2018-04-01,128,106,14,0.0,3.0,2.0,3.0,115,94,11,0.0,6.0,1.0,3.0,Maine
2018-05-01,126,102,11,0.0,4.0,0.0,9.0,113,92,16,0.0,2.0,0.0,3.0,Maine
2018-06-01,125,94,22,0.0,4.0,1.0,4.0,149,125,16,0.0,3.0,1.0,4.0,Maine
2018-07-01,106,78,17,0.0,8.0,1.0,2.0,112,93,12,0.0,3.0,1.0,3.0,Maine
2018-08-01,85,71,6,0.0,4.0,0.0,4.0,147,125,14,0.0,6.0,1.0,1.0,Maine
2018-09-01,114,95,14,0.0,2.0,1.0,2.0,92,77,12,0.0,2.0,0.0,1.0,Maine
2018-10-01,91,76,6,0.0,2.0,1.0,6.0,124,106,12,0.0,4.0,0.0,2.0,Maine
2018-11-01,102,83,12,0.0,3.0,0.0,4.0,129,105,18,0.0,3.0,1.0,2.0,Maine
2018-12-01,84,65,12,0.0,2.0,0.0,5.0,113,98,12,0.0,0.0,0.0,3.0,Maine
2019-01-01,80,64,11,0.0,3.0,0.0,2.0,125,104,8,0.0,9.0,0.0,4.0,Maine
2019-02-01,95,86,5,0.0,0.0,0.0,4.0,122,99,17,0.0,4.0,0.0,2.0,Maine
2019-03-01,103,78,6,0.0,10.0,2.0,7.0,94,80,7,0.0,3.0,1.0,3.0,Maine
2019-04-01,91,73,12,0.0,3.0,1.0,2.0,131,103,13,0.0,7.0,2.0,6.0,Maine
2019-05-01,89,69,11,0.0,3.0,1.0,5.0,134,102,22,0.0,3.0,0.0,7.0,Maine
2019-06-01,99,85,5,0.0,5.0,0.0,4.0,106,80,14,0.0,5.0,3.0,4.0,Maine
2019-07-01,91,80,6,0.0,3.0,0.0,2.0,110,91,13,0.0,2.0,1.0,3.0,Maine
2019-08-01,92,72,11,0.0,1.0,1.0,7.0,116,99,14,0.0,2.0,0.0,1.0,Maine
2019-09-01,103,84,11,0.0,3.0,0.0,5.0,96,74,8,0.0,6.0,2.0,6.0,Maine
2019-10-01,79,63,9,0.0,1.0,1.0,5.0,102,92,7,0.0,2.0,0.0,1.0,Maine
2019-11-01,98,78,12,0.0,4.0,1.0,3.0,113,84,16,0.0,7.0,0.0,6.0,Maine
2019-12-01,81,71,6,0.0,1.0,1.0,2.0,114,94,11,0.0,3.0,3.0,3.0,Maine
2020-01-01,96,74,12,0.0,3.0,4.0,3.0,112,93,12,0.0,3.0,0.0,4.0,Maine
2020-02-01,88,69,14,0.0,1.0,1.0,3.0,98,78,11,0.0,1.0,2.0,6.0,Maine
2020-03-01,65,59,3,0.0,0.0,0.0,3.0,155,131,18,0.0,4.0,0.0,2.0,Maine
2020-04-01,12,9,0,0.0,2.0,0.0,1.0,104,88,10,0.0,4.0,0.0,2.0,Maine
2020-05-01,3,2,0,0.0,0.0,0.0,1.0,116,99,9,0.0,2.0,0.0,6.0,Maine
2020-06-01,10,8,1,0.0,1.0,0.0,0.0,91,74,11,0.0,2.0,1.0,3.0,Maine
2020-07-01,69,51,6,0.0,6.0,0.0,6.0,88,69,11,0.0,2.0,1.0,5.0,Maine
2020-08-01,97,75,14,0.0,4.0,1.0,3.0,91,75,9,0.0,4.0,1.0,2.0,Maine
2020-09-01,56,45,6,0.0,1.0,0.0,4.0,72,62,3,0.0,3.0,1.0,3.0,Maine
2020-10-01,61,52,4,0.0,2.0,0.0,3.0,79,60,8,0.0,2.0,2.0,7.0,Maine
2020-11-01,31,27,1,0.0,1.0,0.0,2.0,77,58,8,0.0,5.0,0.0,6.0,Maine
2020-12-01,68,57,8,0.0,1.0,0.0,2.0,73,57,14,0.0,1.0,0.0,1.0,Maine
2021-01-01,37,31,5,0.0,0.0,0.0,1.0,74,61,6,0.0,3.0,0.0,4.0,Maine
2021-02-01,52,46,2,0.0,1.0,0.0,3.0,70,56,9,0.0,1.0,0.0,4.0,Maine
2021-03-01,71,57,10,0.0,2.0,1.0,1.0,82,68,6,0.0,3.0,2.0,3.0,Maine
2021-04-01,36,32,1,0.0,2.0,0.0,1.0,89,71,11,0.0,2.0,1.0,4.0,Maine
2021-05-01,61,47,7,0.0,2.0,1.0,4.0,72,58,9,0.0,1.0,0.0,4.0,Maine
2021-06-01,85,64,11,0.0,3.0,0.0,7.0,70,57,5,0.0,3.0,1.0,4.0,Maine
2021-07-01,78,68,8,0.0,0.0,0.0,2.0,73,60,7,0.0,4.0,0.0,2.0,Maine
2021-08-01,61,51,7,0.0,1.0,0.0,2.0,78,60,7,0.0,4.0,1.0,6.0,Maine
2021-09-01,26,23,1,0.0,0.0,0.0,2.0,58,52,4,0.0,0.0,1.0,1.0,Maine
2021-10-01,83,64,9,0.0,4.0,0.0,6.0,73,60,6,0.0,2.0,0.0,5.0,Maine
2021-11-01,73,59,9,0.0,1.0,0.0,4.0,60,44,10,0.0,3.0,0.0,3.0,Maine
2021-12-01,54,42,4,0.0,3.0,0.0,5.0,90,76,8,0.0,3.0,1.0,2.0,Maine
2022-01-01,73,59,7,0.0,5.0,0.0,2.0,72,60,8,0.0,2.0,0.0,2.0,Maine
2022-02-01,79,63,10,0.0,2.0,1.0,3.0,71,60,7,0.0,0.0,1.0,3.0,Maine
2022-03-01,94,74,12,0.0,4.0,0.0,4.0,75,61,9,0.0,1.0,0.0,4.0,Maine
2022-04-01,72,63,9,0.0,0.0,0.0,0.0,69,59,6,0.0,1.0,0.0,3.0,Maine
2022-05-01,82,68,5,0.0,7.0,2.0,0.0,61,52,5,0.0,2.0,1.0,1.0,Maine
2022-06-01,80,73,4,0.0,2.0,0.0,1.0,60,54,5,0.0,1.0,0.0,0.0,Maine
2022-07-01,63,52,5,0.0,4.0,1.0,1.0,69,55,11,0.0,1.0,0.0,2.0,Maine
2022-08-01,71,57,6,0.0,5.0,1.0,2.0,91,74,5,0.0,6.0,1.0,5.0,Maine
2022-09-01,56,46,4,0.0,5.0,1.0,0.0,44,36,4,0.0,1.0,1.0,2.0,Maine
2016-01-01,630,390,94,70.0,42.0,31.0,3.0,574,359,78,70.0,44.0,19.0,4.0,Washington
2016-02-01,646,394,111,82.0,40.0,19.0,0.0,617,392,91,85.0,36.0,12.0,1.0,Washington
2016-03-01,772,461,112,103.0,55.0,39.0,2.0,663,408,88,90.0,42.0,32.0,3.0,Washington
2016-04-01,643,389,119,81.0,31.0,22.0,1.0,665,414,104,79.0,43.0,21.0,4.0,Washington
2016-05-01,657,431,81,87.0,39.0,17.0,2.0,699,451,99,87.0,35.0,19.0,8.0,Washington
2016-06-01,767,483,121,102.0,42.0,17.0,2.0,682,430,105,86.0,40.0,20.0,1.0,Washington
2016-07-01,582,352,87,75.0,34.0,30.0,4.0,641,421,98,71.0,31.0,19.0,1.0,Washington
2016-08-01,660,397,97,95.0,45.0,25.0,1.0,713,427,103,105.0,50.0,24.0,4.0,Washington
2016-09-01,708,435,104,87.0,42.0,38.0,2.0,642,410,93,74.0,37.0,25.0,3.0,Washington
2016-10-01,691,414,104,96.0,46.0,28.0,3.0,697,432,116,83.0,39.0,27.0,0.0,Washington
2016-11-01,643,387,90,93.0,42.0,27.0,4.0,663,413,88,95.0,48.0,16.0,3.0,Washington
2016-12-01,702,424,93,109.0,45.0,25.0,6.0,649,407,88,85.0,42.0,25.0,2.0,Washington
2017-01-01,613,369,91,89.0,30.0,27.0,7.0,622,381,104,87.0,33.0,14.0,3.0,Washington
2017-02-01,630,390,87,95.0,37.0,14.0,7.0,591,369,84,85.0,31.0,18.0,4.0,Washington
2017-03-01,771,475,127,102.0,38.0,22.0,7.0,680,447,91,82.0,34.0,19.0,7.0,Washington
2017-04-01,664,421,106,86.0,32.0,16.0,3.0,639,393,99,87.0,41.0,14.0,5.0,Washington
2017-05-01,739,449,93,132.0,37.0,20.0,8.0,649,394,94,91.0,47.0,20.0,3.0,Washington
2017-06-01,766,455,113,99.0,55.0,40.0,4.0,664,417,102,87.0,33.0,20.0,5.0,Washington
2017-07-01,660,394,99,88.0,44.0,30.0,5.0,673,427,88,93.0,44.0,19.0,2.0,Washington
2017-08-01,775,488,120,94.0,37.0,32.0,4.0,693,422,105,109.0,36.0,19.0,2.0,Washington
2017-09-01,680,425,97,88.0,41.0,22.0,7.0,633,388,92,86.0,41.0,23.0,3.0,Washington
2017-10-01,705,417,99,106.0,51.0,26.0,6.0,713,441,130,83.0,35.0,22.0,2.0,Washington
2017-11-01,626,400,98,68.0,34.0,20.0,6.0,642,409,84,83.0,40.0,22.0,4.0,Washington
2017-12-01,645,404,94,90.0,36.0,19.0,2.0,623,389,85,89.0,28.0,27.0,5.0,Washington
2018-01-01,675,417,98,97.0,36.0,25.0,2.0,697,414,113,113.0,31.0,22.0,4.0,Washington
2018-02-01,671,406,104,83.0,46.0,27.0,5.0,629,372,98,89.0,43.0,23.0,4.0,Washington
2018-03-01,790,459,123,121.0,53.0,28.0,6.0,723,431,119,98.0,53.0,18.0,4.0,Washington
2018-04-01,678,416,95,96.0,37.0,27.0,7.0,693,435,114,90.0,26.0,23.0,5.0,Washington
2018-05-01,725,436,121,84.0,53.0,28.0,3.0,716,434,107,97.0,40.0,32.0,6.0,Washington
2018-06-01,698,423,95,108.0,43.0,23.0,6.0,665,407,104,81.0,41.0,28.0,4.0,Washington
2018-07-01,602,342,94,101.0,36.0,26.0,3.0,777,495,101,110.0,39.0,29.0,3.0,Washington
2018-08-01,715,416,109,108.0,50.0,29.0,3.0,682,401,112,83.0,56.0,28.0,2.0,Washington
2018-09-01,586,362,88,71.0,47.0,14.0,4.0,639,375,108,87.0,42.0,24.0,3.0,Washington
2018-10-01,687,409,107,86.0,46.0,30.0,9.0,728,429,106,113.0,44.0,31.0,5.0,Washington
2018-11-01,630,365,97,93.0,43.0,22.0,10.0,657,400,112,94.0,29.0,20.0,2.0,Washington
2018-12-01,616,361,94,85.0,48.0,22.0,6.0,653,397,106,90.0,37.0,20.0,3.0,Washington
2019-01-01,646,360,100,107.0,53.0,23.0,3.0,742,450,129,82.0,47.0,30.0,4.0,Washington
2019-02-01,623,374,93,100.0,33.0,22.0,1.0,650,389,85,104.0,43.0,27.0,2.0,Washington
2019-03-01,743,454,99,121.0,41.0,23.0,5.0,634,373,106,81.0,45.0,24.0,5.0,Washington
2019-04-01,666,416,102,74.0,36.0,25.0,13.0,726,435,110,123.0,33.0,23.0,2.0,Washington
2019-05-01,709,431,96,109.0,41.0,21.0,11.0,704,426,103,101.0,53.0,20.0,1.0,Washington
2019-06-01,581,372,78,82.0,36.0,10.0,3.0,595,326,104,93.0,42.0,28.0,2.0,Washington
2019-07-01,622,374,104,86.0,35.0,22.0,1.0,701,407,116,104.0,46.0,26.0,2.0,Washington
2019-08-01,647,380,86,117.0,44.0,19.0,1.0,632,386,94,96.0,35.0,16.0,5.0,Washington
2019-09-01,550,311,96,94.0,29.0,20.0,0.0,699,430,109,92.0,36.0,29.0,3.0,Washington
2019-10-01,721,425,91,126.0,42.0,36.0,1.0,667,433,91,92.0,28.0,19.0,4.0,Washington
2019-11-01,595,359,87,91.0,38.0,16.0,4.0,589,369,97,75.0,23.0,18.0,7.0,Washington
2019-12-01,579,341,90,82.0,43.0,23.0,0.0,639,406,83,89.0,31.0,23.0,7.0,Washington
2020-01-01,624,350,94,103.0,40.0,28.0,9.0,655,400,98,92.0,35.0,23.0,7.0,Washington
2020-02-01,597,343,92,105.0,34.0,20.0,3.0,592,374,98,74.0,32.0,13.0,1.0,Washington
2020-03-01,600,352,76,109.0,35.0,23.0,5.0,628,386,85,100.0,32.0,21.0,4.0,Washington
2020-04-01,293,171,39,53.0,21.0,9.0,0.0,965,576,148,146.0,57.0,32.0,6.0,Washington
2020-05-01,292,167,39,48.0,26.0,11.0,1.0,447,268,63,75.0,24.0,15.0,2.0,Washington
2020-06-01,263,162,41,39.0,10.0,11.0,0.0,519,325,84,64.0,25.0,18.0,3.0,Washington
2020-07-01,313,177,47,53.0,19.0,15.0,2.0,635,411,74,100.0,33.0,16.0,1.0,Washington
2020-08-01,338,212,36,55.0,24.0,9.0,2.0,581,363,83,73.0,39.0,19.0,4.0,Washington
2020-09-01,385,211,51,76.0,25.0,19.0,3.0,584,336,84,99.0,42.0,18.0,5.0,Washington
2020-10-01,495,306,67,84.0,26.0,10.0,2.0,600,359,76,81.0,45.0,34.0,5.0,Washington
2020-11-01,400,222,65,72.0,24.0,16.0,1.0,521,306,83,81.0,32.0,15.0,4.0,Washington
2020-12-01,237,121,37,46.0,23.0,9.0,1.0,579,363,82,79.0,26.0,28.0,1.0,Washington
2021-01-01,414,245,51,78.0,28.0,11.0,1.0,549,343,85,68.0,35.0,14.0,4.0,Washington
